date_id,currency_code,rate_to_usd
20220806,EUR,0.97723
20220806,GBP,0.82349
20220806,JPY,133.12
20220806,USD,1
20220807,CAD,1.2885
20220807,EUR,0.97723
20220807,GBP,0.82349
20220807,JPY,133.12
20220807,USD,1
20220808,CAD,1.2878
20220808,EUR,0.98049
20220808,GBP,0.82523
20220808,JPY,134.93
20220808,USD,1
20220809,CAD,1.2862
20220809,EUR,0.97714
20220809,GBP,0.82587
20220809,JPY,135.1
20220809,USD,1
20220810,CAD,1.2882
20220810,EUR,0.97542
20220810,GBP,0.82528
20220810,JPY,134.76
20220810,USD,1
20220811,CAD,1.277
20220811,EUR,0.96731
20220811,GBP,0.8181
20220811,JPY,132.1
20220811,USD,1
20220812,CAD,1.2784
20220812,EUR,0.97229
20220812,GBP,0.82368
20220812,JPY,133.66
20220812,USD,1
20220813,CAD,1.2784
20220813,EUR,0.97229
20220813,GBP,0.82368
20220813,JPY,133.66
20220813,USD,1
20220814,CAD,1.2784
20220814,EUR,0.97229
20220814,GBP,0.82368
20220814,JPY,133.66
20220814,USD,1
20220815,CAD,1.2915
20220815,EUR,0.98087
20220815,GBP,0.82761
20220815,JPY,133.02
20220815,USD,1
20220816,CAD,1.2907
20220816,EUR,0.98707
20220816,GBP,0.83129
20220816,JPY,134.35
20220816,USD,1
20220817,CAD,1.2905
20220817,EUR,0.98386
20220817,GBP,0.82849
20220817,JPY,135.14
20220817,USD,1
20220818,CAD,1.2889
20220818,EUR,0.98251
20220818,GBP,0.82915
20220818,JPY,134.77
20220818,USD,1
20220819,CAD,1.2992
20220819,EUR,0.99463
20220819,GBP,0.84482
20220819,JPY,136.93
20220819,USD,1
20220820,CAD,1.2992
20220820,EUR,0.99463
20220820,GBP,0.84482
20220820,JPY,136.93
